product_name,unit_price
14 AWG THHN/THWN-2 Solid Building Wire - sold by the spool,$0.16
12 AWG THHN/THWN-2 Solid Building Wire - sold by the spool,$0.22
10 AWG THHN/THWN-2 Solid Building Wire - sold by the spool,$0.29
14 AWG THHN/THWN-2 Stranded Building Wire - sold by the spool,$0.13
12 AWG THHN/THWN-2 Stranded Wire - sold by the spool,$0.20
10 AWG THHN Stranded Wire,$0.33
10 AWG THHN/THWN-2 Stranded Wire - sold by the spool,$0.33
10 AWG THHN/THWN-2 Stranded Building Wire 100ft or 200ft Coil,$0.38
8 AWG THHN/THWN-2 Copper Building Wire,$0.60
6 AWG THHN/THWN-2 Copper Building Wire,$0.92
4 AWG THHN/THWN-2 Wire (By-the-foot),$1.41
3 AWG THHN/THWN-2 Wire (By-the-foot),$1.77
2 AWG THHN/THWN-2 Building Wire – Cut to Length,$2.23
1 AWG THHN/THWN-2 Wire (By-the-foot),$2.46
1/0 AWG THHN/THWN-2 Copper Building Wire,$3.03
2/0 THHN/THWN-2 Building Wire – Cut to Length,$3.72
3/0 AWG THHN/THWN-2 Copper Building Wire,$4.72
4/0 THHN/THWN-2 Building Wire – Cut to Length,$5.92
250 MCM THHN/THWN-2 Building Wire,$6.85
300 MCM THHN/THWN-2 Building Wire,$8.25
350 MCM THHN/THWN-2 Building Wire,$9.64
400 MCM THHN/THWN-2 Building Wire,$10.97
500 MCM THHN/THWN-2 Building Wire,$13.63
600 MCM THHN/THWN-2 Building Wire,$16.96
750 MCM THHN/THWN-2 Building Wire,$28.60
1000 MCM THHN/THWN-2 Building Wire,$37.24
